ANEKAL,12.88 ,12.894 ,77.643 ,77.673 
BANGALORE SOUTH,12.832 ,12.919 ,77.515 ,77.676 
BASVANGUDI,12.923 ,12.953 ,77.538 ,77.573 
BOMMANAHALLI ,12.865 ,12.93 ,77.567 ,77.669 
BTM LAYOUT,12.904 ,12.951 ,77.597 ,77.642 
BYATARAYANAPURA,13.038 ,13.131 ,77.529 ,77.65 
CHAMARAJPET,12.949 ,12.969 ,77.543 ,77.578 
CHICKPET,12.928 ,12.971 ,77.561 ,77.603 
CV RAMAN NAGAR SC,12.945 ,13.012 ,77.617 ,77.68 
DASARAHALLI ,12.988 ,13.082 ,77.49 ,77.535 
GANDHI NAGAR ,12.964 ,13.003 ,77.554 ,77.584 
GOVINDRAJA NAGAR,12.936 ,12.987 ,77.51 ,77.555 
HEBBAL,13.006 ,13.047 ,77.561 ,77.61 
JAYANAGAR,12.901 ,12.936 ,77.572 ,77.608 
KR PURA ,12.944 ,13.086 ,77.633 ,77.73 
MAHADEVAPURA SC,12.893 ,13.016 ,77.639 ,77.779 
MAHALAXMI LAYOUT,12.983 ,13.026 ,77.52 ,77.554 
MALLESWARAM,12.993 ,13.043 ,77.552 ,77.596 
PADMANABA NAGAR,12.893 ,12.94 ,77.532 ,77.585 
PULAKESHI NAGAR SC,12.987 ,13.038 ,77.595 ,77.622 
RAJAJI NAGAR,12.977 ,12.999 ,77.528 ,77.567 
RAJARAJESHWARI NAGAR,12.834 ,12.921 ,77.515 ,77.675 
SARVARGNA NAGAR,12.992 ,13.045 ,77.61 ,77.662 
SHANTI NAGAR,12.916 ,12.98 ,77.592 ,77.663 
SHIVAJI NAGAR,12.962 ,12.999 ,77.574 ,77.628 
VIJAYA NAGAR,12.933 ,12.975 ,77.519 ,77.556 
YELAHANKA,13.076 ,13.142 ,77.54 ,77.615 
YESHVANTHAPURA,12.855 ,13.052 ,77.461 ,77.551 
